City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Sitka,US,2020-04-05 19:32:58,57.05,-135.33,39.2,64,75,3.36,broken clouds,0.0,0.0
1,Cidreira,BR,2020-04-05 19:32:58,-30.18,-50.21,71.26,76,0,15.3,clear sky,0.0,0.0
2,Puerto Ayora,EC,2020-04-05 19:32:05,-0.74,-90.35,84.2,74,20,13.87,few clouds,0.0,0.0
3,Sao Joao Da Barra,BR,2020-04-05 19:32:58,-21.64,-41.05,78.8,73,90,9.17,overcast clouds,0.0,0.0
4,Ponta Do Sol,PT,2020-04-05 19:32:09,32.67,-17.1,68.0,82,20,4.7,few clouds,0.0,0.0
5,Ludvika,SE,2020-04-05 19:32:58,60.15,15.19,43.0,81,43,2.24,scattered clouds,0.0,0.0
6,Port Alfred,ZA,2020-04-05 19:32:07,-33.59,26.89,64.0,88,100,3.0,overcast clouds,0.0,0.0
7,Khatanga,RU,2020-04-05 19:32:08,71.97,102.5,30.78,97,100,14.54,overcast clouds,0.0,0.0
8,Meulaboh,ID,2020-04-05 19:32:59,4.14,96.13,79.75,81,100,3.87,moderate rain,3.55,0.0
9,Mataura,NZ,2020-04-05 19:31:31,-46.19,168.86,60.01,81,100,5.01,overcast clouds,0.0,0.0
10,New Norfolk,AU,2020-04-05 19:27:59,-42.78,147.06,50.0,57,90,17.22,overcast clouds,0.0,0.0
11,Bathsheba,BB,2020-04-05 19:32:59,13.22,-59.52,84.2,66,75,14.99,broken clouds,0.0,0.0
12,Campbellton,CA,2020-04-05 19:32:59,48.01,-66.67,38.16,94,99,1.36,light rain,0.12,0.0
13,Ushuaia,AR,2020-04-05 19:26:50,-54.8,-68.3,41.0,80,75,32.21,shower rain,0.0,0.0
14,Cape Town,ZA,2020-04-05 19:32:08,-33.93,18.42,61.0,93,75,5.82,broken clouds,0.0,0.0
15,Qaanaaq,GL,2020-04-05 19:32:04,77.48,-69.36,13.12,82,100,1.61,overcast clouds,0.0,0.0
16,Rikitea,PF,2020-04-05 19:32:04,-23.12,-134.97,74.84,65,94,9.37,overcast clouds,0.0,0.0
17,Berlevag,NO,2020-04-05 19:32:59,70.86,29.09,26.6,73,20,18.34,few clouds,0.0,0.0
18,Okhotsk,RU,2020-04-05 19:32:13,59.38,143.3,20.19,97,100,4.27,light snow,0.0,0.38
19,Jamestown,US,2020-04-05 19:32:12,42.1,-79.24,50.0,70,20,10.29,few clouds,0.0,0.0
20,Fortuna,US,2020-04-05 19:32:10,40.6,-124.16,52.0,76,75,10.29,broken clouds,0.0,0.0
21,Provideniya,RU,2020-04-05 19:33:00,64.38,-173.3,6.67,86,100,11.86,overcast clouds,0.0,0.0
22,Halifax,CA,2020-04-05 19:29:35,44.65,-63.57,50.0,49,75,4.7,broken clouds,0.0,0.0
23,Victoria,HK,2020-04-05 19:33:00,22.29,114.16,64.4,88,40,8.05,light rain,0.0,0.0
24,Hilo,US,2020-04-05 19:33:00,19.73,-155.09,73.4,88,90,5.82,light rain,0.0,0.0
25,Tasiilaq,GL,2020-04-05 19:33:00,65.61,-37.64,9.77,78,100,8.72,overcast clouds,0.0,0.0
26,Hobart,AU,2020-04-05 19:30:03,-42.88,147.33,50.0,57,90,17.22,overcast clouds,0.0,0.0
27,Port Hardy,CA,2020-04-05 19:33:00,50.7,-127.42,44.6,70,20,11.41,few clouds,0.0,0.0
28,Lebu,CL,2020-04-05 19:33:00,-37.62,-73.65,60.19,63,0,11.5,clear sky,0.0,0.0
29,Northam,GB,2020-04-05 19:33:00,51.03,-4.22,59.0,77,99,14.0,light rain,0.48,0.0
30,Kikwit,CD,2020-04-05 19:33:00,-5.04,18.82,74.07,78,90,2.68,light rain,0.47,0.0
31,Yellowknife,CA,2020-04-05 19:32:09,62.46,-114.35,21.2,48,20,11.41,few clouds,0.0,0.0
32,Sorland,NO,2020-04-05 19:33:01,67.67,12.69,32.0,86,75,11.41,broken clouds,0.0,0.0
33,Albany,US,2020-04-05 19:32:04,42.6,-73.97,62.01,55,90,4.7,overcast clouds,0.0,0.0
