City_ID,City,Country,Max Temp,Lat,Long,Current Description,Hotel Name
1,Cidreira,BR,71.26,-30.18,-50.21,clear sky,Novomar Pousada e Turismo Ltda
2,Puerto Ayora,EC,84.2,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
3,Sao Joao Da Barra,BR,78.8,-21.64,-41.05,overcast clouds,Pousada Porto De Canoas
4,Ponta Do Sol,PT,68.0,32.67,-17.1,few clouds,Hotel do Campo
6,Port Alfred,ZA,64.0,-33.59,26.89,overcast clouds,The Halyards Hotel
9,Mataura,NZ,60.01,-46.19,168.86,overcast clouds,Ellie's Villa
10,New Norfolk,AU,50.0,-42.78,147.06,overcast clouds,The Shingles Riverside Cottages
11,Bathsheba,BB,84.2,13.22,-59.52,broken clouds,Atlantis Hotel
14,Cape Town,ZA,61.0,-33.93,18.42,broken clouds,Southern Sun Waterfront Cape Town
16,Rikitea,PF,74.84,-23.12,-134.97,overcast clouds,Pension Maro'i
19,Jamestown,US,50.0,42.1,-79.24,few clouds,Hampton Inn & Suites Jamestown
20,Fortuna,US,52.0,40.6,-124.16,broken clouds,Super 8 By Wyndham Fortuna
22,Halifax,CA,50.0,44.65,-63.57,broken clouds,Hotel Halifax
23,Victoria,HK,64.4,22.29,114.16,light rain,Mini Hotel Central
24,Hilo,US,73.4,19.73,-155.09,light rain,Hilo Hawaiian Hotel
26,Hobart,AU,50.0,-42.88,147.33,overcast clouds,St Ives Apartments
28,Lebu,CL,60.19,-37.62,-73.65,clear sky,Hostal Las Lilas
33,Albany,US,62.01,42.6,-73.97,overcast clouds,
35,Linda,US,54.0,39.13,-121.55,thunderstorm,Comfort Suites Marysville-Yuba City
36,Luwingu,ZM,63.54,-10.26,29.93,broken clouds,"Mountain City Lodge. Luwingu, Zambia"
37,Praia,CV,75.2,14.92,-23.51,few clouds,LT Aparthotel
39,Walvis Bay,,61.0,-22.96,14.51,few clouds,Oyster Box Guesthouse
40,Anderson,US,78.8,34.53,-82.65,clear sky,The Bleckley Inn
41,Luderitz,,59.0,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
42,Karratha,AU,79.56,-20.74,116.85,overcast clouds,ibis Styles Karratha
43,Puerto Princesa,PH,80.6,9.74,118.74,few clouds,Deep Forest Garden Inn
46,Bethel,US,64.99,41.37,-73.41,few clouds,Courtyard by Marriott Danbury
47,Faanui,PF,83.48,-16.48,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
49,Moron,AR,78.01,-34.65,-58.62,overcast clouds,Hotel Morón
50,Rupert,US,55.99,42.62,-113.68,clear sky,Uptown Motel
51,Pemba,MZ,80.6,-12.97,40.52,few clouds,Guesthouse Samotina
52,Kruisfontein,ZA,63.37,-34.0,24.73,overcast clouds,Oyster Bay House Rental
53,Coolum Beach,AU,66.0,-26.53,153.1,scattered clouds,Coolum Beach Resort
54,Busselton,AU,64.0,-33.65,115.33,scattered clouds,Observatory Guest House
56,Hurghada,EG,78.8,27.26,33.81,clear sky,Sea Star Beau Rivage Hotel
